approach,corpus,query,type,k,method,chunking,source_file,score,year
hard_filter,uk,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2023-10-26.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_2113.txt),0.8474,2023
hard_filter,uk,What is the latest official position regarding legislation on the protection of veterans?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-10-15.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_21109.txt),0.868,2025
hard_filter,uk,What is the latest official position regarding legislation on the protection of veterans?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-06-30.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_19269.txt),0.8599,2025
hard_filter,uk,What is the latest official position regarding legislation on the protection of veterans?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2024-01-09.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_3902.txt),0.8577,2024
hard_filter,uk,how did the prime minister/president's rhetoric regarding the war between israel and hamas/gaza change between his first and last speech?,evolution,3,DENSE,parentSon,exe3/clean-text/UK/debates2023-10-18.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_1743.txt),0.8932,2023
hard_filter,uk,how did the prime minister/president's rhetoric regarding the war between israel and hamas/gaza change between his first and last speech?,evolution,3,DENSE,parentSon,exe3/clean-text/UK/debates2024-04-15.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_7111.txt),0.8906,2024
hard_filter,uk,how did the prime minister/president's rhetoric regarding the war between israel and hamas/gaza change between his first and last speech?,evolution,3,DENSE,parentSon,exe3/clean-text/UK/debates2024-04-15.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_7109.txt),0.8899,2024
hard_filter,uk,How has the approach to the restoration and maintenance of local and community infrastructure changed between late 2023 and late 2024?,evolution,3,DENSE,parentSon,exe3/clean-text/UK/debates2023-11-09.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_2318.txt),0.8545,2023
hard_filter,uk,How has the approach to the restoration and maintenance of local and community infrastructure changed between late 2023 and late 2024?,evolution,3,DENSE,parentSon,exe3/clean-text/UK/debates2023-10-26.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_2150.txt),0.8514,2023
hard_filter,uk,How has the approach to the restoration and maintenance of local and community infrastructure changed between late 2023 and late 2024?,evolution,3,DENSE,parentSon,exe3/clean-text/UK/debates2023-12-04.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_3185.txt),0.8492,2023
hard_filter,uk,who is the minister of defense/secretary of defense?,ambiguity,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-01-06.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_13032.txt),0.8638,2025
hard_filter,uk,who is the minister of defense/secretary of defense?,ambiguity,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-02-10.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_14493.txt),0.86,2025
hard_filter,uk,who is the minister of defense/secretary of defense?,ambiguity,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-09-08.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_20578.txt),0.8586,2025
hard_filter,uk,Who holds the position responsible for Rural Development?,ambiguity,3,DENSE,parentSon,exe3/clean-text/UK/debates2024-10-24.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_10817.txt),0.8211,2024
hard_filter,uk,Who holds the position responsible for Rural Development?,ambiguity,3,DENSE,parentSon,exe3/clean-text/UK/debates2024-01-22.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_4446.txt),0.8153,2024
hard_filter,uk,Who holds the position responsible for Rural Development?,ambiguity,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-02-06.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_14434.txt),0.8145,2025
hard_filter,uk,what was the specific budget allocated to security in 2024?,hard_filter,3,BM25,fixed,exe3/clean-text/UK/debates2024-11-04.txt (exe3/chunked-text/UK/chunk_4734.txt),57.4512,2024
hard_filter,uk,what was the specific budget allocated to security in 2024?,hard_filter,3,BM25,fixed,exe3/clean-text/UK/debates2024-01-22.txt (exe3/chunked-text/UK/chunk_1876.txt),51.9978,2024
hard_filter,uk,what was the specific budget allocated to security in 2024?,hard_filter,3,BM25,fixed,exe3/clean-text/UK/debates2024-05-09.txt (exe3/chunked-text/UK/chunk_3448.txt),51.5565,2024
hard_filter,uk,What was the specific amount allocated to support the public sector for National Insurance costs in 2025?,hard_filter,3,BM25,fixed,exe3/clean-text/UK/debates2025-03-04.txt (exe3/chunked-text/UK/chunk_6393.txt),96.9902,2025
hard_filter,uk,What was the specific amount allocated to support the public sector for National Insurance costs in 2025?,hard_filter,3,BM25,fixed,exe3/clean-text/UK/debates2025-01-27.txt (exe3/chunked-text/UK/chunk_5924.txt),75.1984,2025
hard_filter,uk,What was the specific amount allocated to support the public sector for National Insurance costs in 2025?,hard_filter,3,BM25,fixed,exe3/clean-text/UK/debates2025-09-11.txt (exe3/chunked-text/UK/chunk_8809.txt),70.1873,2025
hard_filter,uk,What is the current official position regarding the State of Israel?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2025-01-07.txt (exe3/chunked-text/UK/chunk_5571.txt),58.4074,2025
hard_filter,uk,What is the current official position regarding the State of Israel?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2025-10-29.txt (exe3/chunked-text/UK/chunk_9174.txt),58.2186,2025
hard_filter,uk,What is the current official position regarding the State of Israel?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2025-06-03.txt (exe3/chunked-text/UK/chunk_7697.txt),55.0122,2025
hard_filter,uk,What is the current official position regarding Hamas/Gaza?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2025-10-29.txt (exe3/chunked-text/UK/chunk_9174.txt),99.8841,2025
hard_filter,uk,What is the current official position regarding Hamas/Gaza?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2025-01-07.txt (exe3/chunked-text/UK/chunk_5570.txt),78.9744,2025
hard_filter,uk,What is the current official position regarding Hamas/Gaza?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2025-03-04.txt (exe3/chunked-text/UK/chunk_6408.txt),78.678,2025
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of the State of Israel?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2023-11-27.txt (exe3/chunked-text/UK/chunk_1247.txt),62.138,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of the State of Israel?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2023-12-04.txt (exe3/chunked-text/UK/chunk_1365.txt),57.1504,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of the State of Israel?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2023-07-04.txt (exe3/chunked-text/UK/chunk_107.txt),57.0777,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of Hamas/Gaza?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2023-12-04.txt (exe3/chunked-text/UK/chunk_1365.txt),93.1208,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of Hamas/Gaza?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2023-12-12.txt (exe3/chunked-text/UK/chunk_1488.txt),93.011,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of Hamas/Gaza?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2023-11-27.txt (exe3/chunked-text/UK/chunk_1247.txt),89.271,2023
hard_filter,uk,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2023-06-29.txt (exe3/chunked-text/UK/chunk_47.txt),71.4786,2023
hard_filter,uk,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2023-10-20.txt (exe3/chunked-text/UK/chunk_792.txt),65.3855,2023
hard_filter,uk,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2023-12-18.txt (exe3/chunked-text/UK/chunk_1594.txt),63.1496,2023
hard_filter,uk,What is the latest official position regarding legislation on the protection of veterans?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2024-05-20.txt (exe3/chunked-text/UK/chunk_3624.txt),70.6588,2024
hard_filter,uk,What is the latest official position regarding legislation on the protection of veterans?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2024-01-25.txt (exe3/chunked-text/UK/chunk_1985.txt),61.4863,2024
hard_filter,uk,What is the latest official position regarding legislation on the protection of veterans?,recency,3,BM25,fixed,exe3/clean-text/UK/debates2025-04-23.txt (exe3/chunked-text/UK/chunk_7135.txt),61.3975,2025
hard_filter,uk,how did the prime minister/president's rhetoric regarding the war between israel and hamas/gaza change between his first and last speech?,evolution,3,BM25,fixed,exe3/clean-text/UK/debates2024-01-08.txt (exe3/chunked-text/UK/chunk_1646.txt),156.0114,2024
hard_filter,uk,how did the prime minister/president's rhetoric regarding the war between israel and hamas/gaza change between his first and last speech?,evolution,3,BM25,fixed,exe3/clean-text/UK/debates2023-10-16.txt (exe3/chunked-text/UK/chunk_696.txt),151.9669,2023
hard_filter,uk,how did the prime minister/president's rhetoric regarding the war between israel and hamas/gaza change between his first and last speech?,evolution,3,BM25,fixed,exe3/clean-text/UK/debates2023-10-16.txt (exe3/chunked-text/UK/chunk_695.txt),140.3994,2023
hard_filter,uk,How has the approach to the restoration and maintenance of local and community infrastructure changed between late 2023 and late 2024?,evolution,3,BM25,fixed,exe3/clean-text/UK/debates2023-11-16.txt (exe3/chunked-text/UK/chunk_1105.txt),70.9065,2023
hard_filter,uk,How has the approach to the restoration and maintenance of local and community infrastructure changed between late 2023 and late 2024?,evolution,3,BM25,fixed,exe3/clean-text/UK/debates2023-10-26.txt (exe3/chunked-text/UK/chunk_910.txt),64.8066,2023
hard_filter,uk,How has the approach to the restoration and maintenance of local and community infrastructure changed between late 2023 and late 2024?,evolution,3,BM25,fixed,exe3/clean-text/UK/debates2023-11-21.txt (exe3/chunked-text/UK/chunk_1170.txt),64.6046,2023
hard_filter,uk,who is the minister of defense/secretary of defense?,ambiguity,3,BM25,fixed,exe3/clean-text/UK/debates2025-01-06.txt (exe3/chunked-text/UK/chunk_5532.txt),24.7463,2025
hard_filter,uk,who is the minister of defense/secretary of defense?,ambiguity,3,BM25,fixed,exe3/clean-text/UK/debates2023-11-09.txt (exe3/chunked-text/UK/chunk_983.txt),2.9528,2023
hard_filter,uk,who is the minister of defense/secretary of defense?,ambiguity,3,BM25,fixed,exe3/clean-text/UK/debates2025-01-09.txt (exe3/chunked-text/UK/chunk_5620.txt),2.9229,2025
hard_filter,uk,Who holds the position responsible for Rural Development?,ambiguity,3,BM25,fixed,exe3/clean-text/UK/debates2023-12-05.txt (exe3/chunked-text/UK/chunk_1388.txt),56.685,2023
hard_filter,uk,Who holds the position responsible for Rural Development?,ambiguity,3,BM25,fixed,exe3/clean-text/UK/debates2024-12-16.txt (exe3/chunked-text/UK/chunk_5428.txt),53.4639,2024
hard_filter,uk,Who holds the position responsible for Rural Development?,ambiguity,3,BM25,fixed,exe3/clean-text/UK/debates2024-12-03.txt (exe3/chunked-text/UK/chunk_5194.txt),52.7144,2024
hard_filter,uk,what was the specific budget allocated to security in 2024?,hard_filter,3,BM25,parentSon,exe3/clean-text/UK/debates2024-01-22.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_4473.txt),71.6231,2024
hard_filter,uk,what was the specific budget allocated to security in 2024?,hard_filter,3,BM25,parentSon,exe3/clean-text/UK/debates2024-11-18.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_11628.txt),68.7486,2024
hard_filter,uk,what was the specific budget allocated to security in 2024?,hard_filter,3,BM25,parentSon,exe3/clean-text/UK/debates2024-01-22.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_4428.txt),68.0357,2024
hard_filter,uk,What was the specific amount allocated to support the public sector for National Insurance costs in 2025?,hard_filter,3,BM25,parentSon,exe3/clean-text/UK/debates2025-03-04.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_15078.txt),134.7677,2025
hard_filter,uk,What was the specific amount allocated to support the public sector for National Insurance costs in 2025?,hard_filter,3,BM25,parentSon,exe3/clean-text/UK/debates2025-01-27.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_13969.txt),105.8969,2025
hard_filter,uk,What was the specific amount allocated to support the public sector for National Insurance costs in 2025?,hard_filter,3,BM25,parentSon,exe3/clean-text/UK/debates2025-01-27.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_13970.txt),92.18,2025
hard_filter,uk,What is the current official position regarding the State of Israel?,recency,3,BM25,parentSon,exe3/clean-text/UK/debates2025-10-29.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_21668.txt),84.9508,2025
hard_filter,uk,What is the current official position regarding the State of Israel?,recency,3,BM25,parentSon,exe3/clean-text/UK/debates2025-09-02.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_20403.txt),72.7896,2025
hard_filter,uk,What is the current official position regarding the State of Israel?,recency,3,BM25,parentSon,exe3/clean-text/UK/debates2025-09-11.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_20782.txt),68.053,2025
hard_filter,uk,What is the current official position regarding Hamas/Gaza?,recency,3,BM25,parentSon,exe3/clean-text/UK/debates2025-10-29.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_21668.txt),125.6326,2025
hard_filter,uk,What is the current official position regarding Hamas/Gaza?,recency,3,BM25,parentSon,exe3/clean-text/UK/debates2025-01-07.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_13145.txt),100.2208,2025
hard_filter,uk,What is the current official position regarding Hamas/Gaza?,recency,3,BM25,parentSon,exe3/clean-text/UK/debates2025-01-07.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_13151.txt),84.2105,2025
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of the State of Israel?,recency,3,BM25,parentSon,exe3/clean-text/UK/debates2023-12-04.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_3215.txt),92.1486,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of the State of Israel?,recency,3,BM25,parentSon,exe3/clean-text/UK/debates2023-11-14.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_2506.txt),73.864,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of the State of Israel?,recency,3,BM25,parentSon,exe3/clean-text/UK/debates2023-06-29.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_111.txt),72.5864,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of Hamas/Gaza?,recency,3,BM25,parentSon,exe3/clean-text/UK/debates2023-12-11.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_3480.txt),113.0418,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of Hamas/Gaza?,recency,3,BM25,parentSon,exe3/clean-text/UK/debates2023-12-04.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_3216.txt),111.5206,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of Hamas/Gaza?,recency,3,BM25,parentSon,exe3/clean-text/UK/debates2023-11-14.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_2506.txt),107.6418,2023
hard_filter,uk,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,recency,3,BM25,parentSon,exe3/clean-text/UK/debates2023-06-29.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_111.txt),82.0887,2023
